Demographics- race of respondent (PTDTRACE),Total,No Response,Refused,Don't Know,Not in Universe,Yes,No
 -> Total -> Total Illinois,9976206,1035489,183065,150899,1119423,6046328,1441002
White only,7760474,747311,154456,132629,755797,4836321,1133960
Black only,1403936,225906,24500,18270,124223,814429,196608
"American Indian, Alaskan Native Only",50423,0,0,0,6676,36997,6750
Asian only,683307,62272,4109,0,232727,311286,72913
Hawaiian/Pacific Islander Only,0,0,0,0,0,0,0
White-Black,12548,0,0,0,0,0,12548
White-AI,21669,0,0,0,0,9117,12552
White-Asian,9165,0,0,0,0,9165,0
White-HP,0,0,0,0,0,0,0
Black-AI,30266,0,0,0,0,24595,5671
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,4418,0,0,0,0,4418,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
 -> Total -> Total Indiana,5299364,530469,139967,48496,377427,2996633,1206372
White only,4484431,421871,118202,40115,266160,2595650,1042433
Black only,504395,88512,21765,4825,36050,281500,71743
"American Indian, Alaskan Native Only",21288,0,0,0,5831,11091,4366
Asian only,177323,5288,0,3556,63151,68245,37083
Hawaiian/Pacific Islander Only,9553,0,0,0,0,9553,0
White-Black,52036,9170,0,0,6235,11165,25466
White-AI,32566,0,0,0,0,12514,20052
White-Asian,10857,5628,0,0,0,0,5229
White-HP,0,0,0,0,0,0,0
Black-AI,0,0,0,0,0,0,0
Black-Asian,0,0,0,0,0,0,0
Black-HP,0,0,0,0,0,0,0
AI-Asian,0,0,0,0,0,0,0
AI-HP,0,0,0,0,0,0,0
Asian-HP,0,0,0,0,0,0,0
W-B-AI,6915,0,0,0,0,6915,0
W-B-A,0,0,0,0,0,0,0
W-B-HP,0,0,0,0,0,0,0
W-AI-A,0,0,0,0,0,0,0
W-AI-HP,0,0,0,0,0,0,0
W-A-HP,0,0,0,0,0,0,0
B-AI-A,0,0,0,0,0,0,0
W-B-AI-A,0,0,0,0,0,0,0
W-AI-A-HP,0,0,0,0,0,0,0
Other 3 Race Combinations,0,0,0,0,0,0,0
Other 4 and 5 Race Combinations,0,0,0,0,0,0,0
